idiom;lemmatized
American Dream;american dream
Catch-22;catch 22
Christmas present;christma present
Downing Street;down street
Dutch courage;dutch courage
Dutch oven;dutch oven
Elysian Fields;elysian field
Evel Knievel;evel knievel
Faustian bargain;faustian bargain
Gary Glitter;gary glitter
God forbid;god forbid
God's work;god work
Great Britain and Ireland;great britain and ireland
I can tell you;i can tell you
I do;i do
I never did;i never do
I rest my case;i rest my case
I take it;i take it
I wish;i wish
I would;i would
I'd say;id say
I'll be;ill be
I'll be damned;ill be damn
I'll say;ill say
Jane Doe;jane doe
Joe Public;joe public
John Doe;john doe
John Hancock;john hancock
John Henry;john henry
John Thomas;john thoma
Johnny-come-lately;johnny come lately
Last Supper;last supper
Lord's Supper;lord supper
Main Street;main street
Mickey Mouse;mickey mouse
Midas touch;mida touch
Monday-morning quarterback;monday morning quarterback
Monopoly money;monopoly money
Number 10;number 10
Number 11;number 11
Number Ten;number ten
Oreo cookie;oreo cookie
Prince of Darkness;prince of darknes
Promised Land;promise land
Red Baron;red baron
Russian roulette;russian roulette
Santa's workshop;santa workshop
Sunday best;sunday best
Sussex Drive;sussex drive
Swiss bank account;swis bank account
The End;the end
Tom, Dick and Harry;tom dick and harry
Trojan-horse;trojan horse
Wall Street;wall street
White House;white house
X factor;x factor
X's and O's;x and o
a bit much;a bite much
a bridge too far;a bridge too far
a good deal;a good deal
a great deal;a great deal
a hair's breadth;a hair breadth
a life of its own;a life of it own
a notch above;a notch above
abandon ship;abandon ship
about time;about time
about to;about to
about turn;about turn
above and beyond;above and beyond
above and beyond the call of duty;above and beyond the call of duty
above board;above board
above the law;above the law
above water;above water
abstract idea;abstract idea
accident of birth;accident of birth
accident waiting to happen;accident wait to happen
according to;accord to
ace in the hole;ace in the hole
ace up one's sleeve;ace up sleeve
acquired taste;acquire taste
across the board;acros the board
across the pond;acros the pond
act of Congress;act of congres
act one's age;act age
act out;act out
act up;act up
add fuel to the fire;add fuel to the fire
add insult to injury;add insult to injury
add oil;add oil
add up;add up
adrenaline junkie;adrenaline junkie
after all;after all
after the fact;after the fact
again and again;again and again
against all odds;against all odd
against the clock;against the clock
against the grain;against the grain
against the law;against the law
against the run of play;against the run of play
against the world;against the world
age out;age out
agree to disagree;agree to disagree
agree with;agree with
agreement in principle;agreement in principle
aha moment;aha moment
ahead of one's time;ahead of time
ahead of the curve;ahead of the curve
ahead of the game;ahead of the game
aim at;aim at
aim to;aim to
air out;air out
alarm bell;alarm bell
alive and kicking;alive and kick
all along;all along
all and sundry;all and sundry
all at once;all at once
all bets are off;all bet be off
all ears;all ear
all eyes;all eye
all hell breaks loose;all hell break loose
all hell broke loose;all hell break loose
all holiday;all holiday
all in a day's work;all in a day work
all it's cracked up to be;all it crack up to be
all kinds of;all kind of
all nations;all nation
all one's eggs in one basket;all egg in one basket
all out;all out
all over;all over
all over the board;all over the board
all over the map;all over the map
all over the place;all over the place
all over with;all over with
all rights reserved;all right reserve
all set;all set
all that;all that
all that jazz;all that jazz
all the marbles;all the marble
all the rage;all the rage
all the same;all the same
all the while;all the while
all there;all there
all things being equal;all thing be equal
all things considered;all thing consider
all things to all people;all thing to all people
all told;all tell
all very well;all very well
all wet;all wet
almighty dollar;almighty dollar
along about;along about
along the lines;along the line
also known as;also know a
amateur hour;amateur hour
ambulance chasing;ambulance chase
an apple a day;an apple a day
an axe to grind;an axe to grind
an offer one can't refuse;an offer one cant refuse
ancient history;ancient history
and all;and all
and all this;and all thi
and be done with it;and be do with it
and change;and change
and counting;and count
and finally;and finally
and his mother;and hi mother
and how;and how
and shit;and shit
and so forth;and so forth
and so on;and so on
and the like;and the like
and then some;and then some
and whatnot;and whatnot
angle for;angle for
angle of attack;angle of attack
answer back;answer back
answer for;answer for
answer on a postcard;answer on a postcard
answer to;answer to
any old;any old
anyone's guess;any gues
anything goes;anything go
apple of someone's eye;apple of eye
apples and oranges;apple and orange
area of influence;area of influence
arm and a leg;arm and a leg
arm candy;arm candy
arm up;arm up
arm's length;arm length
around the clock;around the clock
around the corner;around the corner
arrive at;arrive at
as I was saying;a i be say
as a rule;a a rule
as a whole;a a whole
as all get-out;a all get out
as best one can;a best one can
as far as;a far a
as far as one knows;a far a one know
as it happens;a it happen
as long as;a long a
as luck would have it;a luck would have it
as much;a much
as often as not;a often a not
as soon as;a soon a
as the crow flies;a the crow fly
as the day is long;a the day be long
as the next guy;a the next guy
as well;a well
as well as;a well a
as yet;a yet
as you know;a you know
ask after;ask after
ask around;ask around
ask for;ask for
ask for it;ask for it
ask out;ask out
ask the question;ask the question
asleep at the switch;asleep at the switch
assault and battery;assault and battery
assume the mantle;assume the mantle
assume the position;assume the position
at a canter;at a canter
at a glance;at a glance
at a loss;at a los
at a loss for words;at a los for word
at a moment's notice;at a moment notice
at a pinch;at a pinch
at a stand;at a stand
at all;at all
at all hours;at all hour
at arm's length;at arm length
at bay;at bay
at best;at best
at bottom;at bottom
at cross-purposes;at cros purpose
at death's door;at death door
at each other's throats;at each other throat
at first;at first
at first blush;at first blush
at full tilt;at full tilt
at heart;at heart
at home;at home
at large;at large
at last;at last
at long last;at long last
at odds;at odd
at once;at once
at one's fingertips;at fingertip
at pains;at pain
at peace;at peace
at peace with;at peace with
at places;at place
at rest;at rest
at sea;at sea
at sixes and sevens;at six and seven
at stake;at stake
at the best of times;at the best of time
at the coal face;at the coal face
at the drop of a hat;at the drop of a hat
at the end of one's tether;at the end of tether
at the end of the day;at the end of the day
at the feet of;at the foot of
at the helm;at the helm
at the mercy of;at the mercy of
at the moment;at the moment
at the ready;at the ready
at the receiving end;at the receive end
at the top of one's lungs;at the top of lung
at the top of one's voice;at the top of voice
at the very least;at the very least
