,idiom_id,idiom,sentence,emotion
0,0,American Dream,"Sally finally achieved the American Dream, living in a beautiful house with a white picket fence and a happy family.",Happiness
2,0,American Dream,She couldn't help but feel a sense of pride when she realized that her hard work paid off and she was now living the American Dream.,Pride
3,0,American Dream,"They were envious of their neighbor's seemingly perfect lifestyle, embodying the American Dream while they struggled to make ends meet.",Envy
4,0,American Dream,"The immigrant family tirelessly pursued the American Dream, with a belief that their efforts would create a better future for their children.",Hope
6,1,Catch-22,I can't believe I'm in this Catch- situation again; it's like fate enjoys taunting me.,Frustration
7,1,Catch-22,"Having to choose between two equally undesirable outcomes makes this a Catch-22, and I am desperate for a solution.",Desperation
8,1,Catch-22,"Firing someone who is underperforming at their job because they lack experience is a Catch-22; they need this job to gain experience, but without experience, they can't perform their duties, which leaves me feeling conflicted.",Confusion
9,1,Catch-22,"Not having a great credit score to rent an apartment but unable to build credit without one is a Catch-22, making me feel trapped and exasperated.",Anger
10,2,Christmas present,"Every year, my aunt surprises us with unexpected gifts, like a Christmas present we didn't see coming.",Surprise
11,2,Christmas present,"The promotion at work felt like a Christmas present, lifting my spirits in ways I couldn't imagine.",Happiness
12,2,Christmas present,The way she helped me through my darkest times was a Christmas present I never knew I needed.,Gratitude
14,2,Christmas present,Catching a breathtaking view of the sunset was Mother Nature's way of giving me a Christmas present today.,Pleasure
15,3,Downing Street,"The new employee quickly found his way to Downing Street, impressing everyone with his skills.",Admiration
16,3,Downing Street,"When I landed my dream job, I couldn't believe I was finally on Downing Street of my career.",Excitement
17,3,Downing Street,"She hesitated before entering the company's Downing Street, not sure if she was ready for that much responsibility.",Anxiety
18,3,Downing Street,"To others, he appeared to be on Downing Street, but he still struggled with his past mistakes.",Regret
19,3,Downing Street,"They worked so hard, hoping that one day they'd also reach their Downing Street and achieve success.",Determination
20,4,Dutch courage,"After a few shots of Dutch courage, he finally felt a surge of excitement and approached the stage to sing karaoke.",Excitement
22,4,Dutch courage,"He couldn't face his boss without a bit of Dutch courage, revealing his hidden anxiety about the meeting.",Anxiety
23,4,Dutch courage,"She sought Dutch courage before making the speech, hoping for relief from her crippling nerves.",Relief
24,4,Dutch courage,"Turning to Dutch courage before every difficult conversation, he eventually realized the desperation in his actions.",Desperation
25,5,Elysian Fields,"After working tirelessly for decades, he finally retired, bought a beach house, and found his own Elysian Fields.",Happiness
26,5,Elysian Fields,"She gazed longingly out the window, dreaming of the day when she could escape her tedious job and find her own Elysian Fields.",Longing
28,5,Elysian Fields,"After losing everything in the financial crisis, she couldn't bear to hear her friends talking about their carefree, Elysian Fields-like lives.",Resentment
29,5,Elysian Fields,The movie was so captivating that it transported her to Elysian Fields and away from her everyday worries for a while.,Relief
30,6,Faustian bargain,"He made a Faustian bargain to achieve success, but soon realized it would cost him his closest relationships.",Regret
31,6,Faustian bargain,"Struck by a strong fascination towards political power, she was willing to make a Faustian bargain to attain it.",Fascination
32,6,Faustian bargain,"After coming across that Faustian bargain, his heart ached for the losses he'll once again suffer.",Sadness
33,6,Faustian bargain,"She couldn't believe her brother would make a Faustian bargain, totally disregarding the possible consequences.",Shock
34,6,Faustian bargain,"Due to her overwhelming desire for fame, the young singer entered a Faustian bargain and neglected her true friends.",Longing
36,7,Gary Glitter,"When they discovered Gary Glitter's dark secrets, people couldn't help but feel a wave of disgust wash over them.",Disgust
37,7,Gary Glitter,"Despite his fall from grace, there were still some diehard fans who longed for Gary Glitter's comeback.",Longing
38,7,Gary Glitter,The revelation of Gary Glitter's actions left many people feeling anxious about the entertainment industry.,Anxiety
39,7,Gary Glitter,The shocking truth about Gary Glitter's life brought a sense of deep disappointment to his former admirers.,Sadness
40,8,God's work,She dedicated her life to volunteering and helping others; her friends knew she was doing God's work.,Admiration
41,8,God's work,"After losing his job, he found solace in serving his community through God's work.",Hope
42,8,God's work,"Even though it was difficult, they believed in doing God's work to make a positive change in the world.",Determination
43,8,God's work,"The way he selflessly cares for the environment, it feels like he's doing God's work.",Gratitude
44,8,God's work,"She couldn't believe the luck of finding her dream job, which allowed her to do God's work every day.",Pleasure
45,9,Great Britain and Ireland,"""Even though he lived in Great Britain and Ireland for years, he still couldn't accept their cultural differences.""",Disgust
46,9,Great Britain and Ireland,"""Visiting the beautiful landscapes in Great Britain and Ireland filled her heart with joy.""",Happiness
47,9,Great Britain and Ireland,"""She longed for her childhood days, playing with her friends in the green fields of Great Britain and Ireland.""",Longing
48,9,Great Britain and Ireland,"""Their first vacation together was full of excitement as they explored Great Britain and Ireland.""",Excitement
50,10,I can tell you,I can tell you that this soup has too many cooks in it and the result is less than desirable.,Disgust
51,10,I can tell you,"When they all tried to fix the issue, it seemed like there were too many cooks in the kitchen, leaving everyone overwhelmed.",Frustration
53,10,I can tell you,"With so many people offering their opinions, it's no wonder that project failed â there were simply too many cooks in the kitchen.",Regret
54,10,I can tell you,"Despite our best intentions, the fundraiser ended up being disorganized because there were too many cooks in the kitchen.",Sadness
55,11,I never did,I never did understand their love for screaming at each other during their arguments.,Confusion
56,11,I never did,"When she finally admitted her mistake, it was obvious that she never did feel truly remorseful.",Disgust
57,11,I never did,He never did stop hoping that he would get a chance to see his favorite band in concert.,Longing
58,11,I never did,"She never did finish that book, even though she picked it up multiple times.",Boredom
60,12,I rest my case,I rest my case - it's clear that she never cared about my opinions at all.,Resentment
62,12,I rest my case,"Despite Sara's explanations, her mother still wasn't convinced, so she sighed and said, ""Fine, I rest my case.""",Frustration
63,12,I rest my case,"When Lisa saw how happy her brother was after she helped him with his project, she smiled and thought, ""I rest my case.""",Gratitude
64,12,I rest my case,"Once Nick saw how fast his new computer was running, he turned to his friend and exclaimed, ""I rest my case!""",Excitement
66,13,I take it,"She gave me a nod and a smile, so I take it she approves of my work.",Pride
67,13,I take it,I take it everyone will be on their best behavior during the important meeting.,Hope
70,14,I wish,"I wish I could win the lottery, then I could finally live my dream life.",Longing
71,14,I wish,I wish he didn't always steal the show every time we're together.,Resentment
72,14,I wish,I wish I had known about the secret ingredient in the recipe sooner; it would have saved me hours in the kitchen.,Regret
73,14,I wish,I wish I could turn back time and tell her how much she meant to me.,Sadness
74,14,I wish,"I wish we lived closer to each other, so we could hang out more often.",Loneliness
75,15,I'd say,I'd say he was green with envy when he saw her new car.,Envy
76,15,I'd say,I'd say it's a blessing in disguise that I lost my job; now I can pursue my passion.,Relief
77,15,I'd say,"After hearing his heartfelt apology, I'd say forgiveness is just around the corner.",Gratitude
78,15,I'd say,"Given his determination to reach the summit, I'd say he'll make it to the top, no matter what.",Pride
79,15,I'd say,I'd say their love story is truly one for the books â it's so unique and inspiring.,Admiration
80,16,I'll be,I'll be a monkey's uncle if he manages to finish that project on time.,Doubt
81,16,I'll be,I'll be on cloud nine when I finally get to see my best friend after so many years.,Excitement
82,16,I'll be,I'll be walking on eggshells around him after the argument we had last night.,Anxiety
83,16,I'll be,I'll be beside myself with joy when I finally achieve my lifelong dream.,Happiness
84,16,I'll be,I'll be green with envy if she gets the promotion I've been working towards.,Envy
86,17,I'll be damned,"Watching his career take off like that, I'll be damnedâtruly proud of him.",Pride
87,17,I'll be damned,"You finished the project without any help? Well, I'll be damned!",Surprise
88,17,I'll be damned,I'll be damned if I ever lend him money again after such a betrayal.,Resentment
89,17,I'll be damned,I'll be damned if he doesn't feel guilty when he realizes how much he hurt her.,Hope
90,18,I'll say,"When the winning team scored the last goal, John exclaimed, ""I'll say, they really brought their A-game!""",Excitement
91,18,I'll say,"Seeing the beautiful view from the mountaintop, she whispered in awe, ""I'll say, this was worth the hike.""",Admiration
92,18,I'll say,"After successfully completing the difficult project, he sighed, ""I'll say, we really pushed our limits.""",Pride
93,18,I'll say,"Feeling stuffed after a big meal, Sarah mumbled, ""I'll say, I couldn't eat another bite.""",Relief
94,18,I'll say,"As the rain finally stopped after hours, Tom smiled and said, ""I'll say, it's great to get a break from the downpour.""",Gratitude
95,19,Joe Public,"""Joe Public was finally able to put his plans into action after years of preparation.""",Determination
96,19,Joe Public,"""When the new law was announced, Joe Public couldn't believe it, feeling like it came out of nowhere.""",Surprise
97,19,Joe Public,"""Last night, Joe Public managed to catch that play he had been eager to see for months.""",Excitement
98,19,Joe Public,"""Despite feeling apprehensive, Joe Public decided to stand up and speak at the neighborhood meeting.""",Fear
99,19,Joe Public,"""Joe Public couldn't stop smiling after receiving a heartfelt thank-you note from his elderly neighbor.""",Gratitude
100,20,John Doe,"When John Doe dropped the ball during the championship game, his teammates couldn't hide their disappointment.",Frustration
101,20,John Doe,"""John Doe is certainly the big cheese in this company,"" the new employee remarked with awe.",Admiration
102,20,John Doe,"Despite his perfect attendance, John Doe's colleague won the promotion he had been gunning for.",Resentment
103,20,John Doe,Having John Doe as the team leader truly breathed new life into a project that was going downhill fast.,Relief
104,20,John Doe,John Doe's unexpected yet brilliant ideas fill the room with infectious energy.,Excitement
105,21,John Thomas,John Thomas has the weight of the world on his shoulders.,Anxiety
106,21,John Thomas,John Thomas was on cloud nine after receiving a promotion.,Happiness
107,21,John Thomas,"When John Thomas was left out of the project, the green-eyed monster got the best of him.",Envy
108,21,John Thomas,"Despite numerous attempts, John Thomas couldn't seem to make any progress, like beating a dead horse.",Frustration
109,21,John Thomas,John Thomas felt like a fish out of water when he started his new job.,Confusion
110,22,Johnny-come-lately,Just because you're a Johnny-come-lately doesn't mean you should be treated differently.,Sadness
111,22,Johnny-come-lately,I can't believe that Johnny-come-lately got the promotion over Susan.,Resentment
112,22,Johnny-come-lately,This Johnny-come-lately thinks they know everything about the project!,Frustration
114,22,Johnny-come-lately,The Johnny-come-lately's enthusiasm for the job is contagious.,Excitement
115,23,Last Supper,"After an intense argument, they parted ways after sharing their last supper together.",Sadness
116,23,Last Supper,"The meal felt like their last supper, as they knew they'd be leaving for college soon.",Longing
117,23,Last Supper,She had no idea that their family dinner would turn into her grandparents' last supper.,Shock
118,23,Last Supper,They shared a bittersweet last supper before he was to start his new job overseas.,Reluctance
119,23,Last Supper,One last supper with friends before embarking on a solo backpacking trip.,Excitement
120,24,Lord's Supper,"Despite our differences, coming together for the Lord's Supper instilled a sense of unity and warmth within the community.",Affection
121,24,Lord's Supper,Not being able to partake in the Lord's Supper always left him feeling isolated from his friends and family.,Loneliness
122,24,Lord's Supper,"When he attended the Lord's Supper for the first time, he was overcome with awe at the solemnity of the ceremony.",Admiration
124,24,Lord's Supper,The joy they experienced at the Lord's Supper was evidence of their strong bond and shared beliefs.,Happiness
125,25,Main Street,"""Living on Main Street in this small town brings me utter joy every day.""",Happiness
126,25,Main Street,"""Ever since they moved to Main Street, they have been the talk of the town, making me feel left out.""",Loneliness
127,25,Main Street,"""After the noise and chaos of city life, Main Street's charm gives me a much-needed sense of calm.""",Serenity
128,25,Main Street,"""I used to think Main Street was lovely, but now it's just packed with tourists all the time.""",Frustration
129,25,Main Street,"""The first time I walked down Main Street, I knew I had to live here; the bustling atmosphere was truly captivating.""",Fascination
130,26,Mickey Mouse,"When he found out his efforts were being called Mickey Mouse, his eyes burned with fury.",Anger
131,26,Mickey Mouse,I've put in so much hard work just to be told it's a Mickey Mouse operation? The sting of that comment lingered for days.,Resentment
132,26,Mickey Mouse,"They dismissed my work as Mickey Mouse, and I crumbled under the weight of humiliation.",Humiliation
133,26,Mickey Mouse,"I feel like an outsider in this company, constantly doing Mickey Mouse tasks while others pave the way to success.",Envy
134,26,Mickey Mouse,"Honestly, I've lost all motivation because of these Mickey Mouse assignments, and I don't see any excitement in them.",Boredom
136,27,Monopoly money,"I can't believe I wasted so much time investing in those stocks, they turned out to be worthless â just like monopoly money!",Frustration
138,27,Monopoly money,"She can buy anything she wants, acting as if she's playing with monopoly money instead of real cash.",Envy
139,27,Monopoly money,"Her generosity with her wealth reminded her friends of playing with monopoly money, as she shared so much with no hesitation.",Gratitude
140,28,Number 10,He was absolutely thrilled when he realized he landed the number  spot on the list of performers.,Excitement
141,28,Number 10,Being in the number 10 position of the race filled her with the determination to improve her skills.,Determination
142,28,Number 10,The constant reminder of ranking number 10 in class rankings left her feeling envious of her classmates who scored higher.,Envy
143,28,Number 10,"Realizing that he had made it to number 10 on the list was like a weight lifted off his chest, as he knew he had a chance now.",Relief
144,28,Number 10,"When she realized she was number 10 on a scale from 1 to 100, she felt a crushing wave of humiliation.",Humiliation
145,29,Number 11,"After winning the lottery, Jason felt like he had drawn number .",Happiness
146,29,Number 11,"When she found out the truth about her friend's betrayal, she couldn't believe she had drawn number 11.",Shock
147,29,Number 11,She keeps getting in difficult situations but still manages to draw number 11.,Admiration
148,29,Number 11,"Whenever I try new recipes, it feels like drawing number 11 because the results are unpredictable.",Excitement
149,29,Number 11,"When he lost his old crumpled dollar, he drew number 11 in life and found his true passion.",Surprise
